id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15779985.0,Nwankwo,678.0,France,Male,29.0,4.0,0.0,3.0,1.0,0.0,180626.36,0.0
1,15650086.0,Ch'in,687.0,France,Female,34.0,1.0,0.0,2.0,0.0,1.0,63736.17,0.0
2,15733602.0,Thompson,682.0,France,Female,52.0,6.0,0.0,3.0,0.0,0.0,179655.87,1.0
3,15645794.0,Macleod,753.0,Germany,Male,44.0,6.0,83347.25,2.0,1.0,0.0,161407.48,0.0
4,15633840.0,Hsia,544.0,Germany,Female,55.0,0.0,107747.57,1.0,1.0,0.0,176580.86,1.0
5,15781598.0,Hsieh,602.0,Spain,Male,33.0,1.0,120599.38,1.0,0.0,1.0,72950.14,0.0
6,15763093.0,Kao,739.0,France,Female,36.0,1.0,0.0,1.0,1.0,1.0,134626.3,0.0
7,15631715.0,Hargreaves,763.0,Spain,Male,28.0,2.0,0.0,2.0,1.0,0.0,19283.14,0.0
8,15632275.0,Hs?,620.0,Germany,Female,56.0,4.0,113743.37,1.0,1.0,0.0,121440.8,1.0
9,15577598.0,Chukwuemeka,525.0,France,Female,34.0,4.0,0.0,2.0,1.0,1.0,160670.58,0.0
10,15809302.0,Hsueh,667.0,Germany,Male,41.0,5.0,106116.56,2.0,1.0,0.0,69676.55,0.0
11,15639357.0,P'an,711.0,France,Female,71.0,8.0,0.0,1.0,1.0,0.0,176924.21,1.0
12,15598088.0,Nwachukwu,649.0,France,Female,37.0,7.0,0.0,2.0,1.0,1.0,173498.45,0.0
13,15622083.0,Lucciano,644.0,Spain,Male,29.0,8.0,0.0,2.0,1.0,0.0,166678.28,0.0
14,15576676.0,Ugochukwutubelum,645.0,Spain,Female,22.0,5.0,0.0,2.0,1.0,1.0,35644.79,0.0
15,15667460.0,Akobundu,731.0,Germany,Female,23.0,3.0,130788.81,2.0,1.0,1.0,105720.09,0.0
16,15702095.0,Pagnotto,814.0,France,Male,39.0,7.0,0.0,2.0,0.0,0.0,28707.69,0.0
17,15806049.0,Ku,628.0,Germany,Female,41.0,2.0,115532.52,1.0,0.0,0.0,77965.67,1.0
18,15594862.0,Hs?,685.0,Spain,Female,32.0,8.0,0.0,2.0,1.0,0.0,171378.77,0.0
19,15756901.0,Lombardi,635.0,France,Female,46.0,6.0,0.0,3.0,1.0,0.0,143683.75,1.0
20,15584899.0,H?,712.0,France,Female,32.0,8.0,0.0,2.0,1.0,0.0,136837.97,0.0
21,15769499.0,Onochie,716.0,Spain,Male,35.0,9.0,0.0,2.0,1.0,0.0,62944.75,0.0
22,15803801.0,Kao,663.0,France,Female,31.0,2.0,0.0,2.0,1.0,0.0,54372.37,0.0
23,15654574.0,Tuan,659.0,France,Female,34.0,3.0,0.0,2.0,0.0,1.0,147553.06,0.0
24,15787204.0,Chukwudi,668.0,France,Female,38.0,7.0,0.0,2.0,1.0,1.0,114522.68,0.0
25,15777922.0,Ch'ang,644.0,France,Male,30.0,5.0,0.0,2.0,1.0,1.0,175749.36,0.0
26,15715117.0,McLean,769.0,France,Male,55.0,6.0,76915.4,1.0,1.0,1.0,123906.19,1.0
27,15802351.0,Teng,694.0,France,Male,45.0,6.0,0.0,2.0,1.0,1.0,101491.23,0.0
28,15777045.0,Nnachetam,667.0,Spain,Male,30.0,5.0,124576.65,1.0,1.0,0.0,120145.65,0.0
29,15701116.0,P'an,745.0,France,Male,29.0,6.0,0.0,1.0,1.0,1.0,145792.01,0.0
30,15681332.0,Aksakova,529.0,Spain,Male,32.0,4.0,0.0,2.0,1.0,1.0,108764.69,0.0
31,15733429.0,Zetticci,592.0,France,Female,48.0,4.0,0.0,1.0,0.0,1.0,100137.5,1.0
32,15708193.0,Ndubuagha,593.0,France,Male,32.0,7.0,0.0,2.0,1.0,0.0,103921.43,0.0
33,15679963.0,Mazzanti,628.0,France,Female,50.0,2.0,0.0,3.0,1.0,0.0,106799.29,1.0
34,15796370.0,Onyemachukwu,705.0,France,Female,35.0,1.0,134692.3,1.0,0.0,1.0,177783.04,0.0
35,15684960.0,Genovese,642.0,France,Female,35.0,2.0,0.0,3.0,1.0,1.0,171413.66,1.0
36,15695097.0,Ejimofor,633.0,France,Female,39.0,1.0,0.0,1.0,1.0,1.0,81299.17,0.0
37,15778838.0,Mamelu,684.0,France,Male,28.0,7.0,141541.25,1.0,1.0,0.0,64831.36,0.0
38,15651369.0,Ch'ien,549.0,France,Male,34.0,7.0,0.0,2.0,1.0,1.0,175870.59,0.0
39,15659962.0,Ts'ao,812.0,Spain,Male,33.0,7.0,0.0,2.0,1.0,0.0,158437.73,0.0
40,15652693.0,Chukwufumnanya,730.0,France,Female,25.0,2.0,0.0,2.0,0.0,1.0,95941.55,0.0
41,15594577.0,Cattaneo,593.0,Spain,Male,28.0,9.0,0.0,2.0,1.0,0.0,5194.95,0.0
42,15784594.0,Maclean,743.0,France,Male,30.0,4.0,0.0,2.0,1.0,0.0,96444.88,0.0
43,15744517.0,Ts'ao,671.0,France,Female,32.0,9.0,0.0,2.0,0.0,1.0,166520.96,0.0
44,15698732.0,Echezonachukwu,668.0,France,Male,41.0,5.0,0.0,2.0,1.0,1.0,97939.4,0.0
45,15639277.0,Chiang,596.0,Germany,Male,27.0,6.0,135020.21,1.0,1.0,0.0,9087.81,1.0
46,15589329.0,Macleod,786.0,Spain,Male,34.0,3.0,110765.68,2.0,1.0,0.0,187955.87,0.0
47,15692406.0,Tsou,651.0,Germany,Male,25.0,5.0,80926.02,2.0,1.0,0.0,175235.99,0.0
48,15743964.0,Ch'ien,686.0,Germany,Male,28.0,2.0,101238.24,2.0,0.0,0.0,141827.83,0.0
49,15702669.0,Biryukov,593.0,Spain,Male,32.0,1.0,0.0,2.0,1.0,0.0,141069.88,0.0
50,15792453.0,Chidubem,684.0,France,Male,39.0,9.0,0.0,2.0,1.0,1.0,108411.66,0.0
51,15584899.0,Fisk,577.0,France,Male,41.0,1.0,0.0,2.0,1.0,1.0,125877.22,0.0
52,15636016.0,Chukwubuikem,807.0,France,Female,51.0,3.0,0.0,3.0,1.0,0.0,169781.45,1.0
53,15631392.0,Hsiao,588.0,France,Male,42.0,4.0,0.0,2.0,1.0,1.0,172459.39,0.0
54,15743817.0,Ch'iu,735.0,France,Male,37.0,4.0,0.0,2.0,1.0,1.0,142331.85,0.0
55,15718779.0,Maughan,639.0,France,Male,25.0,2.0,0.0,2.0,1.0,1.0,90558.24,0.0
56,15591747.0,Onyinyechukwuka,584.0,Germany,Female,37.0,5.0,74989.58,1.0,0.0,0.0,131807.14,1.0
57,15600911.0,Hsiung,707.0,Germany,Female,43.0,3.0,101247.06,2.0,1.0,0.0,73329.08,0.0
58,15690021.0,Maclean,662.0,France,Male,46.0,2.0,0.0,2.0,0.0,0.0,176903.35,1.0
59,15653050.0,Macdonald,437.0,France,Male,39.0,4.0,0.0,1.0,0.0,0.0,125877.22,0.0
60,15803764.0,Aksyonova,528.0,France,Male,28.0,4.0,0.0,2.0,1.0,0.0,19720.08,0.0
61,15641794.0,H?,682.0,France,Female,33.0,6.0,0.0,2.0,1.0,1.0,95583.48,0.0
62,15693381.0,Pirozzi,615.0,France,Male,32.0,9.0,134446.04,1.0,1.0,1.0,94978.1,0.0
63,15771483.0,Fomin,743.0,France,Male,36.0,5.0,0.0,2.0,0.0,1.0,89893.6,0.0
64,15792360.0,Chiekwugo,679.0,Spain,Male,38.0,4.0,137593.07,2.0,0.0,0.0,83700.66,1.0
65,15565706.0,Ch'ang,607.0,Spain,Female,33.0,5.0,0.0,2.0,0.0,1.0,71405.17,0.0
66,15767339.0,Hirst,724.0,Spain,Male,27.0,4.0,0.0,2.0,1.0,0.0,162743.53,0.0
67,15632272.0,Hargreaves,589.0,Spain,Female,34.0,7.0,0.0,2.0,1.0,1.0,71844.3,0.0
68,15584897.0,Okechukwu,694.0,France,Male,54.0,1.0,0.0,1.0,0.0,1.0,181850.74,0.0
69,15771573.0,T'ao,586.0,Spain,Female,39.0,3.0,0.0,2.0,1.0,1.0,153066.97,0.0
70,15756070.0,Maclean,756.0,France,Female,53.0,2.0,0.0,3.0,1.0,1.0,104721.5,1.0
71,15654851.0,Ross,751.0,France,Female,26.0,2.0,0.0,2.0,1.0,0.0,51345.41,0.0
72,15671781.0,Iweobiegbunam,633.0,France,Female,32.0,5.0,0.0,2.0,1.0,0.0,88604.89,0.0
